price,discount_percent,avg_rating,num_reviews,delivery_time_days,customer_age,past_purchase_count,return_rate,time_spent_on_page,product_category,brand_tier,customer_region,device_used,payment_method,review_text,success_label
311,66,3.1,250,9,35,5,0.03,423,Home,Budget,Urban,Mobile,Card,Value for money but quality poor,1
377,8,4.8,86,6,28,30,0.01,457,Electronics,Premium,Semi-Urban,Desktop,Wallet,Fantastic experience overall,1
265,63,3.5,337,8,33,27,0.29,134,Home,Mid,Rural,Mobile,COD,Works but not as advertised,1
803,54,3.4,190,6,49,7,0.31,287,Beauty,Premium,Rural,Tablet,COD,Not bad but could improve,1
1352,61,4.1,345,5,28,29,0.35,164,Beauty,Budget,Urban,Desktop,UPI,Best purchase ever,1
903,18,3.5,296,7,22,20,0.27,226,Electronics,Mid,Semi-Urban,Desktop,UPI,Waste of money,1
397,27,3.6,117,9,22,18,0.05,134,Sports,Mid,Semi-Urban,Desktop,Wallet,Works but not as advertised,1
975,10,2,340,9,29,25,0.12,125,Clothing,Premium,Semi-Urban,Desktop,Card,"Top-notch quality, highly recommend",1
1451,34,4.3,239,8,40,23,0.35,278,Sports,Premium,Semi-Urban,Desktop,COD,Good value for money,1
1427,62,3.2,233,1,35,4,0.38,255,Electronics,Budget,Urban,Desktop,UPI,Best purchase ever,1
373,46,2.8,350,9,28,24,0.09,438,Electronics,Budget,Urban,Mobile,UPI,Best purchase ever,1
1109,27,4.5,162,2,24,18,0.09,501,Sports,Mid,Rural,Desktop,UPI,Waste of money,1
629,29,4.7,308,3,32,11,0.04,274,Clothing,Premium,Semi-Urban,Mobile,COD,"Loved it, smooth usage",1
489,41,4.4,107,3,47,14,0.05,245,Sports,Mid,Semi-Urban,Tablet,COD,Terrible stitching and fabric,1
786,34,4.6,108,9,35,29,0.18,128,Home,Mid,Semi-Urban,Tablet,Card,Nice fragrance and long lasting,1
1085,67,3.3,281,4,29,3,0.01,335,Beauty,Budget,Urban,Desktop,Card,"Cheap quality, not satisfied",1
338,23,2.6,208,5,50,30,0.22,144,Home,Mid,Rural,Mobile,Card,Okay product nothing special,1
862,51,4.4,227,8,18,18,0.39,488,Clothing,Premium,Rural,Mobile,COD,"Loved it, smooth usage",1
1455,35,3.1,144,1,46,4,0.03,219,Electronics,Budget,Rural,Tablet,UPI,Average quality but decent price,1
871,27,3.4,33,9,22,17,0.21,145,Sports,Mid,Semi-Urban,Mobile,COD,Good value for money,1
839,61,3.8,28,9,28,27,0.35,477,Beauty,Budget,Urban,Tablet,COD,Fine but has minor issues,1
1221,69,3.4,98,7,35,27,0.33,440,Home,Budget,Urban,Desktop,Card,"Loved it, smooth usage",1
455,35,3.9,22,10,22,3,0.12,143,Home,Budget,Rural,Tablet,Card,Best purchase ever,1
542,37,3.1,66,10,31,25,0.24,210,Home,Premium,Semi-Urban,Mobile,Card,Good value for money,1
895,36,3.7,265,4,35,21,0.08,566,Sports,Budget,Urban,Tablet,UPI,Looks good but poor durability,1
293,34,4.6,128,10,23,10,0.01,479,Clothing,Budget,Rural,Tablet,Card,Okay product nothing special,1
886,52,2,137,2,48,30,0.26,432,Home,Budget,Rural,Mobile,COD,Terrible stitching and fabric,0
